x, y, r^2, avg 5-fold RMSE, avg 5-fold r^2 
area,transError.mean.mean,0.0668166015909,0.143339744136,-0.109516438758
topology_density,transError.std.std,0.0651983104959,0.163614270681,-2.26652990739
totalLength,rotError.mean.mean,0.0647960699151,0.00435528611176,-0.128734093995
voronoi_diameter,rotError.mean.std,0.062052577432,0.0103624818503,-0.778129706149
voronoi_avg_betweenness_centrality,rotError.mean.std,0.0617435057745,0.0102566013487,-1.51339497035
totalLength,rotError.std.std,0.0614127440343,0.020550256132,-2.5059799048
voronoi_avg_shortest_path_length,rotError.std.std,0.0598578328384,0.0224988722621,-0.493026129028
voronoi_std_betweenness_centrality,rotError.std.std,0.0592583605687,0.0189947894862,-0.475603322342
topology_std_closeness_centrality,rotError.numSamples.std,0.0592040091223,4313.72572322,-0.298965386361
topology_std_closeness_centrality,transError.numSamples.std,0.0592040091223,4253.03424494,-0.486851485591
roomPerimeter,rotError.numSamples.std,0.0586141874967,4231.99254763,-0.401880013428
roomPerimeter,transError.numSamples.std,0.0586141874967,4358.50983871,-0.12184911103
topology_nodes,rotError.mean.std,0.0580266442353,0.0108393307713,-7.35752134729
topology_density,rotError.mean.mean,0.0563557345364,0.00543714445188,-0.239600330219
topology_avg_closeness_centrality,transError.std.mean,0.0560629020935,0.17110270948,0.00640967606792
totalTime,rotError.std.std,0.0560103532328,0.0217031604881,-1.818123748
voronoi_std_eigenvector_centrality,rotError.mean.std,0.0559815718124,0.0106477667164,-1.77732210299
topology_nodes,rotError.std.std,0.0549183402465,0.0214599636665,-0.275671094767
voronoi_std_eigenvector_centrality,rotError.std.std,0.0531574388112,0.0189035178831,-0.700485007242
voronoi_std_katz_centrality,rotError.mean.std,0.0520298965117,0.0112661185966,-1.37988060983
voronoi_std_betweenness_centrality,rotError.mean.std,0.0517164441263,0.0101741212885,-2.29374893667
avgRoomPerimeter,rotError.mean.mean,0.0515612882218,0.00411744452106,-0.0506141244447
roomPerimeter,transError.std.std,0.0512705109681,0.126273364054,-0.0269615927854
topology_std_eigenvector_centrality,rotError.std.std,0.0507802465563,0.0209627214209,-6.49708182616
voronoi_diameter,rotError.std.std,0.0499868243334,0.0212129042571,-0.794309941791
totalLength,rotError.mean.std,0.0498356533668,0.0108015452751,-4.04793468776
voronoi_std_katz_centrality,rotError.std.std,0.049835227053,0.0219529677545,-12.4688789247
topology_std_closeness_centrality,transError.std.std,0.0494668733335,0.133665215335,-0.320328181503
topology_edges,rotError.std.std,0.0491586195981,0.0198910405177,-0.438918159638
topology_radius,transError.std.mean,0.0483633245332,0.171570054518,-0.0440197464915
topology_avg_closeness_centrality,transError.mean.mean,0.0475220766078,0.145753045443,-0.0513568854934
