x, y, Pearson, P-Value
log(wallRatio),sqrt(totalTime.std),0.137230191997,0.59943541833
log(avgRoomPerimeter),log(totalLength.mean),-0.136532581428,0.601310293653
log(avgRoomArea),log(totalLength.mean),-0.132840378042,0.611272526749
sqrt(avgRoomWallRatio),totalLength.mean,-0.129997553961,0.6189872595
log(avgRoomArea),totalLength.std,-0.129852224263,0.619382670032
log(avgRoomWallRatio),sqrt(totalTime.std),-0.125658437993,0.63083520218
avgRoomPerimeter,sqrt(totalLength.mean),-0.123907503111,0.635640511725
avgRoomPerimeter,totalTime.std,-0.123645255476,0.636361421498
log(avgRoomWallRatio),sqrt(totalTime.mean),-0.11511738819,0.659969317722
sqrt(avgRoomArea),sqrt(totalTime.mean),-0.113478809762,0.664541228549
log(avgRoomPerimeter),totalLength.std,-0.112700708044,0.666716197705
log(avgRoomArea),totalLength.mean,0.110422531,0.67309860837
avgRoomPerimeter,totalTime.mean,-0.105166114258,0.687904808365
log(avgRoomWallRatio),sqrt(totalLength.mean),-0.101811864029,0.697409750819
sqrt(avgRoomArea),totalTime.std,-0.100443726415,0.70129898479
wallRatio,log(totalLength.mean),0.09559036418,0.715151820163
sqrt(avgRoomArea),totalLength.mean,0.0914097477761,0.727152399183
wallRatio,log(totalTime.mean),0.088803338115,0.734664833164
log(avgRoomPerimeter),sqrt(totalTime.mean),-0.0817683089991,0.75505402021
log(avgRoomPerimeter),totalLength.mean,0.0784621136607,0.76469013059
sqrt(wallRatio),log(totalLength.mean),0.0744830065487,0.776330798469
log(avgRoomArea),sqrt(totalTime.mean),-0.073865151444,0.778142411198
sqrt(avgRoomPerimeter),totalTime.std,-0.0734230958004,0.779439226298
sqrt(avgRoomPerimeter),sqrt(totalLength.mean),-0.0719154238846,0.783866254782
avgRoomArea,sqrt(totalLength.mean),-0.0709995388768,0.786558671852
log(avgRoomWallRatio),totalTime.mean,-0.0695636870658,0.79078422523
avgRoomArea,totalLength.mean,0.0678930751832,0.795707588049
sqrt(wallRatio),log(totalTime.mean),0.0675571173247,0.796698556775
wallRatio,sqrt(totalTime.mean),0.0647549610974,0.804975336936
log(avgRoomArea),totalTime.std,-0.0614782056597,0.814678789261
wallRatio,sqrt(totalLength.mean),0.0554885105806,0.832481149152
wallRatio,log(totalTime.std),0.050870790793,0.846258977235
sqrt(avgRoomPerimeter),totalTime.mean,-0.0489895154253,0.851884436337
log(avgRoomWallRatio),totalLength.mean,-0.0457576869317,0.861564009782
log(wallRatio),log(totalLength.mean),0.0444213982996,0.865571824449
sqrt(wallRatio),sqrt(totalTime.mean),0.0439336013715,0.867035608671
log(wallRatio),totalLength.mean,-0.0423780290703,0.871706288092
avgRoomArea,totalTime.mean,-0.0415375747037,0.874231470522
log(wallRatio),log(totalTime.mean),0.0409863217978,0.875888359316
sqrt(avgRoomArea),sqrt(totalLength.mean),-0.0383708485432,0.883756164763
sqrt(avgRoomPerimeter),totalLength.mean,0.0361762317042,0.890365925274
log(avgRoomWallRatio),totalTime.std,-0.0358226913019,0.891431370299
wallRatio,totalTime.mean,0.0333976897199,0.898744107137
sqrt(wallRatio),sqrt(totalLength.mean),0.0329139205198,0.900203882354
log(avgRoomPerimeter),totalTime.std,-0.0262956947606,0.920202912479
log(avgRoomPerimeter),sqrt(totalLength.mean),-0.02478201454,0.924783746804
log(wallRatio),sqrt(totalTime.mean),0.0184395597222,0.944000590769
log(wallRatio),log(totalTime.std),-0.0173078467894,0.947432902963
log(avgRoomArea),totalTime.mean,0.0162948846358,0.950505805462
sqrt(wallRatio),log(totalTime.std),0.0151434704848,0.953999512039
avgRoomPerimeter,totalLength.mean,-0.0146746857773,0.955422163841
sqrt(avgRoomArea),totalTime.mean,-0.0137291089043,0.95829215126
sqrt(wallRatio),totalLength.mean,-0.0131141529513,0.960158909763
sqrt(wallRatio),totalTime.mean,0.0124273465211,0.962244008343
log(wallRatio),totalTime.mean,-0.0124214557238,0.96226189343
wallRatio,totalLength.mean,0.0101880787201,0.96904381661
log(avgRoomArea),sqrt(totalLength.mean),-0.00609582376636,0.981475341053
log(wallRatio),sqrt(totalLength.mean),0.00285604974715,0.991320176874
log(avgRoomPerimeter),totalTime.mean,0.00202189293803,0.993855209343
